,Fe,C,Si,Mn,P,S,Alt,elasticite,traction,plasticite,resistance_chocs
188,98.106,0.16,0.33,1.38,0.017,0.007,0.02,400,544,29.5,234
189,98.128,0.12,0.28,1.45,0.015,0.007,0.031,365,510,31,98.3333
190,98.128,0.12,0.28,1.45,0.015,0.007,0.031,370,520,30,147
191,98.121,0.13,0.31,1.41,0.016,0.013,0.021,367,508,32,109
192,98.121,0.13,0.31,1.41,0.016,0.013,0.021,364,509,29.5,117.3333
193,98.106,0.16,0.33,1.38,0.017,0.007,0.02,395,541,27,178.6667
194,98.122,0.13,0.31,1.42,0.012,0.006,0.02,383,515,30.5,102
195,98.122,0.13,0.31,1.42,0.012,0.006,0.02,387,516,33,123.3333
196,98.128,0.12,0.28,1.45,0.015,0.007,0.031,359,506,31,126.3333
197,98.128,0.12,0.28,1.45,0.015,0.007,0.031,359,506,31,126.333
198,98.121,0.13,0.31,1.41,0.016,0.013,0.021,384,522,29.5,133.6667
199,98.069,0.13,0.3,1.47,0.024,0.007,0.02,409,537,38.5,140.6667
201,98.514,0.45,0.24,0.78,0.009,0.007,0.034,702,354,46,25
202,98.5087,0.548,0.267,0.64,0.017,0.0193,,432,732,39.5,20.2
203,98.58038,0.494,0.31,0.587,0.026,0.00262,,422,704,40.4,19.2
204,98.5384,0.494,0.268,0.66,0.026,0.0136,,418,693,42.8,19.3
205,98.5786,0.485,0.242,0.648,0.023,0.0234,,412,679,40.4,21.1
206,98.4624,0.485,0.314,0.702,0.015,0.0216,,407,693,44.8,23.9
207,98.5718,0.464,0.311,0.61,0.023,0.0202,,398,660,45.6,23.9
208,98.5228,0.462,0.28,0.694,0.015,0.0262,,398,660,45.6,23.9
209,98.674,0.46,0.23,0.57,0.026,0.04,,392,667,45.2,23.1
210,98.53,0.44,0.301,0.69,0.015,0.024,,384,634,47.9,25
